Title,Release Date,Developer,Publisher,Genres,Product Rating,User Score,User Ratings Count,Platforms
Tamagotchi Party On!,29/5/2007,h.a.n.d. Inc.,Namco Bandai Games,Party,Rated E For Everyone,3.8,6,Wii
Tales of Vesperia,26/8/2008,Bandai Namco Games,Namco Bandai Games,Action RPG,Rated T For Teen,8.2,274,Xbox 360
The Old City: Leviathan,3/12/2014,PostMod Softworks,PostMod Softworks,First-Person Adventure,Not Rated,5.9,36,PC
We Love Katamari REROLL+ Royal Reverie,2/6/2023,MONKEYCRAFT Co. Ltd.,Bandai Namco Games,Action Adventure,Not Rated,7.1,11,Nintendo Switch
Virginia,22/9/2016,Variable State,505 Games,First-Person Adventure,Not Rated,5,152,PC
Trials of the Blood Dragon,13/6/2016,RedLynx,Ubisoft,2D Platformer,Rated T For Teen,6.2,31,Xbox One
Final Fantasy X / X-2 HD Remaster,18/3/2014,Virtuos,Square Enix,Compilation,Rated T For Teen,8.3,557,PlayStation 3
Sid Meier's SimGolf,23/1/2002,Firaxis Games,EA Games,Real-Time Strategy,Rated E For Everyone,6.9,18,PC
Klonoa: Door to Phantomile,5/5/2009,Paon Corporation,Namco Bandai Games,2D Platformer,Rated E +10 For Everyone +10,7.9,61,Wii
Trainz Railroad Simulator 2004,2/11/2003,Auran,Oteeva,Train Sim,Rated E For Everyone,6.8,8,PC
The Godfather: Mob Wars,19/9/2006,Page 44 Studios,Electronic Arts,Linear Action Adventure,Rated M For Mature,7.4,12,PSP
"That Dragon, Cancer",11/1/2016,Numinous Games,Numinous Games,Point-and-Click,Not Rated,6.3,104,PC
The Elder Scrolls V: Skyrim VR,17/11/2017,Bethesda Softworks,Bethesda Softworks,Western RPG,Rated M For Mature,8,289,PlayStation 4
Sid Meier's Gettysburg!,30/9/1997,Firaxis Games,Electronic Arts,Real-Time Strategy,Not Rated,6.5,30,PC
Sky Odyssey,15/11/2000,CAProduction,Activision,Aircraft Sim,Rated E For Everyone,8.1,7,PlayStation 2
Naruto Shippuden: The New Era,31/3/2011,Takara Tomy,Takara Tomy,2D Beat-'Em-Up,Not Rated,6.894852313,,3DS
.hack//G.U. Last Recode,3/11/2017,CyberConnect2,Bandai Namco Games,Compilation,Rated T For Teen,8.2,74,PlayStation 4
Marvel's Guardians of the Galaxy - Episode 3: More Than A Feeling,22/8/2017,Telltale Games,Telltale Games,Third-Person Adventure,Rated T For Teen,7.2,19,iOS (iPhone/iPad)
flower,12/2/2009,ThatGameCompany,SCEA,Miscellaneous,Rated E For Everyone,8.3,284,iOS (iPhone/iPad)
MotorStorm RC,6/3/2012,Evolution Studios,SCEA,Auto Racing,Rated E For Everyone,6.9,135,PlayStation 3
Major League Baseball 2K10,2/3/2010,Visual Concepts,2K Sports,Baseball Sim,Rated E For Everyone,7.8,5,PlayStation 2
OUTBUDDIES,5/6/2020,Julian Laufer,Headup Games,2D Platformer,Rated T For Teen,7.5,37,PC
Ankh: Curse of the Scarab King,,Deck 13,Viva Media,Adventure,Rated T For Teen,6.894852313,,PC
Joe Danger 2: The Movie,14/9/2012,Hello Games,Microsoft Game Studios,Arcade Racing,Rated E For Everyone,7.5,17,PlayStation 3
Combat Mission: Shock Force,22/8/2007,Big Time Software,Paradox Interactive,Turn-Based Strategy,Rated T For Teen,6,11,PC
MUD - FIM Motocross World Championship,26/2/2013,Milestone S.r.l,Namco Bandai Games,Auto Racing,Rated T For Teen,6.4,9,Xbox 360
Platypus,17/11/2006,Squashy Software,MumboJumbo,Horizontal Shoot-'Em-Up,Rated E For Everyone,5.8,,PSP
Men of Valor,19/10/2004,2015,VU Games,FPS,Rated M For Mature,6.894852313,,Xbox
Guild Wars: Eye of the North,28/8/2007,ArenaNet,NCSOFT,Compilation,Rated T For Teen,8.3,70,PC
NHL 2K10,15/9/2009,Take-Two Interactive,Take-Two Interactive,Hockey Sim,Rated E +10 For Everyone +10,8.2,5,PlayStation 3
Pandora's Tower,16/4/2013,Ganbarion,XSEED Games,Action RPG,Rated T For Teen,8.1,127,Wii
DOOMBLADE,31/5/2023,Muro Studios Ltd.,Iceberg Interactive,Metroidvania,Not Rated,8,6,PC
Super Stardust Delta,14/2/2012,Housemarque,Sony Interactive Entertainment,Top-Down Shoot-'Em-Up,Rated E For Everyone,8,116,PlayStation Vita
The Outfit,13/3/2006,Relic Entertainment,THQ,Tactical Third Person Shooter,Rated M For Mature,7.7,17,Xbox 360
Taiko no Tatsujin: Rhythmic Adventure Pack,3/12/2020,Bandai Namco Games,Bandai Namco Games,Rhythm,Rated T For Teen,6.2,10,Nintendo Switch
inFamous: Festival of Blood,25/10/2011,Sucker Punch,SCEA,Open-World Action,Rated T For Teen,8.3,207,PlayStation 3
MLB 07: The Show,15/5/2007,SCEA San Diego Studios,SCEA,Baseball Sim,Rated E For Everyone,4.8,,PlayStation 2
Nemesis of the Roman Empire,25/3/2004,Haemimont Games,Enlight Software,Real-Time Strategy,Rated E For Everyone,7.5,13,PC
Tiny Metal: Full Metal Rumble,11/7/2019,AREA35,AREA35,Turn-Based Tactics,Rated E +10 For Everyone +10,7.5,21,PC
The Excavation of Hob's Barrow,28/9/2022,Cloak and Dagger Games,Wadjet Eye Games,Point-and-Click,Not Rated,8,18,PC
Shenmue I & II,21/8/2018,D3T,Sega,Compilation,Rated T For Teen,8.3,282,PlayStation 4
Ninja Gaiden (2004),2/3/2004,Team Ninja,Tecmo,Action Adventure,Rated M For Mature,8.9,83,Xbox
Legend: Hand of God,1/8/2008,Master Creating,ValuSoft,RPG,Rated M For Mature,5.3,15,PC
Tom Clancy's Ghost Recon Phantoms,15/8/2012,Ubisoft Singapore,Ubisoft,Tactical Third Person Shooter,Not Rated,6.5,276,PC
Rocketbirds 2: Evolution,26/4/2016,Ratloop Asia Pte Ltd,Ratloop Asia Pte Ltd,2D Platformer,Rated T For Teen,6.2,18,PC
Life is Strange: Episode 2 - Out of Time,24/3/2015,DONTNOD Entertainment,Square Enix,Action Adventure,Rated M For Mature,8.2,229,PlayStation 3
Life is Strange,20/10/2015,DONTNOD Entertainment,Square Enix,Action Adventure,Rated M For Mature,8.6,2350,Xbox One
King's Bounty: Dark Side,19/8/2014,1C-Softclub,1C Entertainment,Turn-Based Strategy,Not Rated,6.4,100,PC
Grand Theft Auto: The Trilogy - The Definitive Edition,11/11/2021,Grove Street Games,Rockstar Games,Compilation,Rated M For Mature,1,4292,Nintendo Switch
Space Raiders (2002),19/4/2004,Taito Corporation,Mastiff,Third Person Shooter,Rated T For Teen,6.8,5,GameCube
Buzz! Quiz World,11/11/2009,Relentless Software,SCEA,Trivia,Rated T For Teen,7.8,18,PSP
Redout (2016),2/9/2016,34BigThings,34BigThings,Future Racing,Rated E For Everyone,7.8,175,Xbox One
Zendoku,26/6/2007,Zoonami Ltd.,Eidos Interactive,Logic Puzzle,Rated E For Everyone,6.894852313,,DS
Shelter,28/8/2013,Might and Delight,Might and Delight,Adventure,Rated E +10 For Everyone +10,7.1,99,PC
